Netherlands,Amsterdam,Vrije Universiteit Amsterdam - University Library,https://github.com/VUAmsterdam-UniversityLibrary
Netherlands,Den Haag,National Library of the Netherlands / Research,https://github.com/KBNLresearch
Netherlands,Leiden,Leiden University Library,https://github.com/LeidenUniversityLibrary
Netherlands,Rotterdam,Erasmus University Library,https://github.com/erasmus-university-library
New Zealand,Auckland,The University of Auckland Library,https://github.com/aucklanduni-library
New Zealand,Lincoln,Lincoln University Library Teaching and Learning,https://github.com/LincolnUniLTL
Norway,Bergen,University of Bergen Library,https://github.com/ubbdst
Norway,Mo i Rana,Norsk nettarkiv (National Library of Norway - Web Archive),https://github.com/nlnwa
Norway,Oslo,Digital Development Team at Oslo Public Library,https://github.com/digibib
Norway,Oslo,University of Oslo Library Scriptoteket,https://github.com/scriptotek
Norway,Oslo,University of Oslo Library,https://github.com/uio-library
Norway,Oslo / Bergen / Stavanger / Trondheim,BI Norwegian Business School Library (Norway),https://github.com/bisentralen
Norway,Tromsø,Library at University of Tromsø,https://github.com/UiT-UB
Norway,Trondheim,NTNU University Library,https://github.com/NTNUUB
Poland,Warszawa,The National Library of Poland,https://github.com/the-national-library-of-poland
Russian Federation,Kachkanar,Kachkanar Public Library,https://github.com/gorbib
Russian Federation,Izhevsk,National Library of the Udmurt Republic,https://github.com/unatlib
Russian Federation,Kazan,Kazan Federal University Academic Library,https://github.com/KFULibrary
Sweden,Falun,The hospital library of Dalarna county's public repository,https://github.com/ldbib
Sweden,Göteborg,Chalmers University of Technology Library,https://github.com/ChalmersLibrary
Sweden,Jönköping,Jönköping University Library,https://github.com/JonkopingUniversityLibrary
Sweden,Stockholm,National Library of Sweden 1,https://github.com/Kungbib
Sweden,Stockholm,National Library of Sweden 2,https://github.com/Libris
Sweden,Stockholm,Stockholm University Library,https://github.com/StockholmUniversityLibrary
Switzerland,Basel,swissbib (Swiss Library Catalogue),https://github.com/swissbib
Switzerland,Basel,project linked-swissbib,https://github.com/linked-swissbib
Switzerland,Bern,Bern University Library,https://github.com/UB-Bern
Switzerland,Bern,University Library - University of Bern,https://github.com/ub-unibe-ch
Switzerland,Lausanne,Medical Library of Lausanne University Hospital,https://github.com/bium
Taiwan,Taipei,National Yang-Ming University Library,https://github.com/YMLIB
Taiwan,Minhsiung Township,National Chung Cheng University Library,https://github.com/CCULibrary
UK,Aberystwyth,Llyfrgell Genedlaethol Cymru - The National Library of Wales,https://github.com/LlGC-NLW
UK,Cambridge,Cambridge University Library,https://github.com/CamLib
UK,Edinburgh,University of Edinburgh Library and University Collections Development Team,https://github.com/UoEMainLibrary
UK,Edinburgh,National Library of Scotland Maps,https://github.com/NationalLibraryOfScotland
UK,Lancaster,Lancaster University Library,https://github.com/lulibrary
UK,London,The British Library,https://github.com/britishlibrary
UK,London,British Library Labs Project,https://github.com/BL-Labs
UK,London,Wellcome Library,https://github.com/wellcomelibrary
UK,Manchester,University of Manchester Library,https://github.com/UoMLibrary
UK,Oxford,The Bodleian Libraries of the University of Oxford,https://github.com/bodleian
US,Allendale & Grand Rapids (MI),Grand Valley State University Libraries,https://github.com/gvsulib
US,Ames (IA),Metadata Services @ Iowa State University,https://github.com/isu-meta
US,Ann Arbor (MI),Ann Arbor District Library,https://github.com/aadl
US,Ann Arbor (MI),Bentley Historical Library,https://github.com/bentley-historical-library
US,Ann Arbor (MI),University of Michigan Library,https://github.com/mlibrary
US,Arlington (TX),University of Texas at Arlington Library,https://github.com/UnivTexasArlington-Library
US,Atlanta (GA),Georgia State University Library,https://github.com/gsu-library
US,Austin (TX),St. Edward's University Munday Library,https://github.com/seulibrary
US,Auburn (AL),Auburn University Libraries,https://github.com/AuburnUniversityLibraries
US,Baltimore (MD),Johns Hopkins University Sheridan Libraries,https://github.com/jhu-sheridan-libraries
US,Baton Rouge (LA),Louisiana State University Libraries,https://github.com/lsulibraries
US,Berkeley (CA),Berkeley Public Library,https://github.com/berkeleypubliclibrary
US,Berkeley (CA),UC Berkeley Library Data & GIS Services,https://github.com/uc-data-services
US,Bethesda (MD),National Institutes of Health Library,https://github.com/NIHL
US,Bethesda (MD),U.S. National Library of Medicine,https://github.com/NLM-OCCS
US,Blacksburg (VA),Virginia Polytechnic and State University Libraries,https://github.com/vtul
US,Blacksburg (VA),Opening Books and the National Corpus of Graduate Research by the University Libraries at Virginia Tech,https://github.com/Opening-ETDs
US,Bloomington (IN),Indiana University Bloomington Library Technologies,https://github.com/IUBLibTech
US,Bloomington (IN),Indiana University Media Digitization and Preservation Initiative,https://github.com/IUMDPI
US,Boston (MA),Boston College Libraries,https://github.com/BCLIbraries
US,Boston (MA),Boston Public Library,https://github.com/boston-library
US,Boston (MA),Boston University Libraries,https://github.com/bulib
US,Boston (MA),Digital Public Library of America,https://github.com/dpla
US,Bozeman (MT),Montana State University Library,https://github.com/msulibrary
US,Brooklyn (NY),Brooklyn Public Library,https://github.com/bklynlibrary
US,Cambridge (MA),Harvard University Library Technology Services,https://github.com/harvard-library
US,Cambridge (MA),Lesley University Library,https://github.com/LesleyUniversityLibrary
US,Cambridge (MA),Media Services at Lamont Library at Harvard University,https://github.com/LamontMediaServices
US,Cambridge (MA),MIT Libraries,https://github.com/mitlibraries
US,Cambridge (MA),SAO/NASA Astrophysics Data System,https://github.com/adsabs
US,Chapel Hill (NC),University of North Carolina at Chapel Hill Libraries,https://github.com/UNC-Libraries
US,Chattanooga (TN),Chattanooga Public Library,https://github.com/ChattanoogaPublicLibrary
US,Chattanooga (TN),University of Tennessee at Chattanooga Library,https://github.com/utclibrary
US,Charlottesville (VA),Data Services at the Health Sciences Library at the University of Virginia,https://github.com/HSL-Data
US,Chesterton (IN),Westchester Public Library,https://github.com/WestchesterPublicLibrary
US,Cincinnati (OH),The Public Library of Cincinnati and Hamilton County,https://github.com/plch
US,College Park (MD),University of Maryland Libraries,https://github.com/umd-lib
US,Columbia (MO),University of Missouri Library Technology Services,https://github.com/umlts
US,Columbia (MO),University of Missouri Library Technology Services Labs,https://github.com/umlts-labs
US,Columbus (OH),Central Library Consortium,https://github.com/clcdpc
US,Columbus (OH),Ohio State University Libraries,https://github.com/osulibraries
US,Conway (NH),Conway Public Library,https://github.com/conwaypubliclibrary
US,Corvallis (OR),Oregon State University Libraries & Press,https://github.com/osulp
US,Darien (CT),Darien (CT) Library,https://github.com/DarienLibrary
US,Davis (CA),UC Davis Library Public Applications,https://github.com/ucd-library
US,Denton (TX),University of North Texas Libraries,https://github.com/unt-libraries
US,Denver (CO),University of Denver Library Technology Services,https://github.com/dulibrarytech
US,Durham (NC),Duke University Libraries,https://github.com/duke-libraries
US,Durham (NC),Duke University Medical Center Library & Archives,https://github.com/dumclibrary
US,Durham (NC),Data & Visualization Service Department at Duke University Libraries,https://github.com/data-and-visualization
US,Elk Grove (IL),Elk Grove Village Public Library,https://github.com/egvpl
US,Evanston (IL),Northwestern University Libraries,https://github.com/nulib
US,Fort Collins (CO),Colorado State University Library,https://github.com/csu-library
US,Grinnell (IA),Grinnell College Libraries,https://github.com/GrinnellCollegeLibraries
US,Iowa City (IA),University of Iowa Libraries,https://github.com/ui-libraries
US,Indianapolis (IN),University Library Center for Digital Scholarship,https://github.com/CenterforDigSchol
US,Indianapolis (IN),Indianapolis University Purdue University Libraries,https://github.com/IUPUI-Libraries
US,Iowa City (IA),Iowa City Public Library,https://github.com/iowa-city-public-library
US,Ithaca (NY),Cornell University Library,https://github.com/cul-it
US,Jefferson County (CO),Jefferson County Public Library,https://github.com/jeffcolibrary
US,Kennewick (WA),Mid-Columbia Libraries,https://github.com/Mid-Columbia-Libraries
US,Kenton County (KY),Kenton County Public Library,https://github.com/kentonlibrary
US,Lakewood (CO),Jefferson County Public Library,https://github.com/jeffcolibrarycolorado
US,Lebanon (NH),Lebanon Public Libraries,https://github.com/leblibrary
US,Lincoln (NE),University of Nebraska - Lincoln Libraries,https://github.com/unl-libraries
US,Loveland (CO),Loveland Public Library,https://github.com/lovelandpubliclibrary
US,Los Angeles (CA),UCLA Library,https://github.com/UCLALibrary
US,Maricopa County (AZ),Maricopa County Library District,https://github.com/mcld
US,Minneapolis (MN),University of Minnesota Libraries,https://github.com/UMNLibraries
